Time_s,Irradiance_Wm2,Temperature_C,Vbus_V,IBoost_A,Ipv_A,Vpv_V,Ppv_W
11.2195,780.0,44.5,83.57405515247824,8.35740551524782,28.65295572640896,27.3974893920764,784.9638365180814
11.2595,780.0,44.5,83.5766272538343,8.357662725383427,28.652640043366524,27.40121091425255,785.0739619663615
11.2995,780.0,44.5,83.57638858957286,8.357638858957284,28.649679740769994,27.403147366158862,785.0452569147722
11.339500000000001,780.0,44.5,83.58167766629833,8.358167766629832,28.648121508492295,27.40685925951859,785.1167425171798
11.379499999999998,780.0,44.5,83.57824306022663,8.35782430602266,28.63875919784718,27.411049087785635,784.9629556578723
11.419500000000001,780.0,44.5,83.58265991510022,8.35826599151002,28.63827813901353,27.413721708127618,785.0347139748346
11.4595,780.0,44.5,83.58121280732794,8.35812128073279,28.646343923775067,27.408091746633737,785.1017279601488
11.4995,775.0,44.375,83.59224219644882,8.35922421964488,28.628861348935438,27.42217246742253,785.0245925255997
11.5395,770.0,44.25,83.53338696304932,8.353338696304927,28.506656455704295,27.434420573992544,782.0324289280121
11.5795,770.0,44.25,83.36586337103208,8.336586337103206,28.342951031655502,27.448063754411862,777.9273151957929
11.619499999999999,770.0,44.25,83.19886196830474,8.31988619683047,28.268117376730764,27.450257545887382,775.948701973329
11.6595,770.0,44.25,83.15716772224474,8.315716772224471,28.284688731073032,27.43087208576147,775.843177262095
11.6995,770.0,44.25,83.1623560740215,8.316235607402145,28.265000332459987,27.45255604401176,775.9257100914298
11.7395,770.0,44.25,83.1521993351201,8.315219933512008,28.282323239844338,27.43331506763521,775.8475036529477
11.7795,770.0,44.25,83.14902157594265,8.314902157594263,28.280860661410998,27.43527454688071,775.8650544817576
11.8195,770.0,44.25,83.1570751557716,8.315707515577156,28.271871754466662,27.445623493474567,775.9172612220524
11.8595,770.0,44.25,83.16167108366365,8.316167108366361,28.267840973111596,27.450173633250376,775.9376413048174
11.8995,770.0,44.25,83.15426397726542,8.31542639772654,28.279482377380837,27.43907759763824,775.9439860006512
11.939499999999999,770.0,44.25,83.15317164184869,8.315317164184867,28.28457084172742,27.433545638673035,775.9249573855626
11.9795,770.0,44.25,83.160190522421,8.316019052242098,28.26887431143435,27.448416943007953,775.913572198417
12.019499999999999,760.0,44.0,83.16621164912144,8.316621164912144,28.19771494735785,27.479450391019583,774.8428503705709
12.0595,760.0,44.0,83.02781304083292,8.302781304083291,28.059694031856544,27.469170089043917,770.7598392232928
12.0995,760.0,44.0,82.83667408779647,8.283667408779646,27.923214692551575,27.473862296941356,767.142912361042
