G,Temp,Vmpp,Impp,Pmpp
240,25,30.1214461889784,34.3060878507758,1033.34897915151
230,25,30.1000486334865,34.3305227658748,1033.35040486585
220,25,30.1114021892135,33.9506607845895,1022.30200147433
210,25,30.1173560158751,33.943899693586,1022.30051163888
200,25,30.0697764209033,33.997204725057,1022.28834501814
1000,26,30.1418258284814,33.9158896345379,1022.28683818224
990,26,30.1079895327251,33.9545062721876,1022.30191943187
980,26,30.1058268793635,33.9569490767107,1022.30203025481
970,26,30.1056073038702,33.9571960742321,1022.30201015136
960,26,30.1414430164794,33.9163307167787,1022.28714962786
950,26,30.1060867614995,33.956655540453,1022.30201783123
940,26,30.1018041603074,33.9614835978399,1022.30192825567
930,26,30.0692416954192,33.997795926914,1022.28794283791
920,26,30.078523196184,33.6201078992566,1011.243195306
910,26,30.1052585214006,33.5904317978157,1011.24863311872
900,26,30.0914360005699,33.605817498529,1011.24730650382
890,26,30.0913352858906,33.6059295446332,1011.24729352158
880,26,30.1070548989663,33.5884152846972,1011.24826294566
870,26,30.1128649649998,33.581901351754,1011.24726067331
860,26,30.1029254807286,33.5930318424689,1011.24853422559
850,26,30.1129887203581,33.5817619530922,1011.24721890321
840,26,30.1035988657808,33.5922786175469,1011.24848049018
830,26,30.101709175723,33.5943891119771,1011.24853098481
820,26,30.1156177193818,33.5788062107134,1011.24649131505
810,26,30.0978028427513,33.2313830460029,1000.19161511054
800,26,30.0881312384181,33.2419967922282,1000.18956211163
790,26,30.1015907476816,33.2271701617626,1000.19067791295
780,26,30.1064315468993,33.2218082087916,1000.1900947022
770,26,30.106149531034,33.2221206619813,1000.19013238766
760,26,30.1062241057831,33.2220378381615,1000.1901164065
750,26,30.1061177229746,33.222155759655,1000.19013231117
740,26,30.1060941226266,33.2221819191963,1000.19013581835
730,26,30.106050731976,33.222229944571,1000.19014014063
720,26,30.1114546877145,33.2162289680731,1000.18897346888
710,26,30.1058789014589,33.2224204341799,1000.19016640477
700,26,30.0889369718191,32.8735142186552,989.129097367317
690,26,30.0982692865541,32.863304171144,989.128578589029
680,26,30.0977532329946,32.8638669123588,989.12855661015
670,26,30.0946827382337,32.8672193400082,989.128538525486
660,26,30.0917117256855,32.8704594785196,989.128390918438
650,26,30.0932432892672,32.8687904331764,989.128507129514
640,26,30.0944620040681,32.8674606080227,989.128544438345
630,26,30.0939556754372,32.868013037252,989.128527482755
620,26,30.0916777480123,32.8704965061807,989.128388281152
610,26,30.0922779179332,32.8698428359049,989.128445736838
600,26,30.0920063022612,32.8701386977051,989.12842084754
590,26,30.0866429832721,32.5082169435448,978.06311720319
580,26,30.0891777384275,32.5054502066228,978.062268734678
570,26,30.0958639690685,32.4982222890613,978.062077248139
560,26,30.0911527112052,32.5033130036663,978.062155213427
550,26,30.0984572445142,32.4954118382358,978.06176385602
540,26,30.0991281475878,32.4946843406337,978.061668084149
530,26,30.1021689822777,32.4913838238431,978.061126333369
520,26,30.0893263097937,32.5052834363738,978.062080109382
510,26,30.0973376595628,32.4966249019929,978.061892471438
500,26,30.0888643990984,32.5057809677857,978.062035726496
490,26,30.0968752551016,32.4971256683273,978.061937389005
480,26,29.8919051158435,32.702768471663,977.548052180351
470,26,30.0890068081673,32.1377159329132,966.991953504372
460,26,30.0792136746073,32.1481402040644,966.990778439287
450,26,30.1088238198012,32.1164079209012,966.98726781528
440,26,30.0883106123277,32.1384481443196,966.991610364477
430,26,30.085878910466,32.1410427834986,966.991521240448
420,26,30.0904773019105,32.1361330446451,966.99158195107
410,26,30.0961609072624,32.1300453585752,966.991015069319
400,26,30.0912517908544,32.1353050803619,966.991556549092
390,26,30.0881797377149,32.1385885479317,966.991628746633
380,26,30.0879067021877,32.1388799962332,966.991622839471
370,26,30.0957287757627,32.1305086423441,966.991073527287
360,26,30.0866834132717,31.7721070711656,955.917326822731
350,26,30.0841827833451,31.7747391977162,955.917061917214
340,26,30.0826741712007,31.776329507281,955.916966924243
330,26,30.0877063323905,31.7710131763998,955.916914334025
320,26,30.0849160037928,31.7739630153574,955.917008424646
310,26,30.0840309661124,31.774897669742,955.917005441572
300,26,30.0819878695773,31.7770531519827,955.916927448856
290,26,30.0735815330027,31.7858960767758,955.915737264467
280,26,30.0856377510008,31.7732006084595,955.917003695991
270,26,30.0979117606356,31.7601835573898,955.915202211906
260,26,30.0982158750501,31.7598598649037,955.915118375211
250,26,30.0846652620975,31.405994311585,944.838826087372
240,26,30.0916848774401,31.398612529959,944.837153840369
230,26,30.0797939713492,31.4110644698941,944.83834767518
220,26,30.0808726635403,31.4099386395507,944.838364585939
210,26,30.074955704737,31.4161062078684,944.838002616955
200,26,30.0752635280531,31.4157857481791,944.83803531734
1000,27,30.0751933573127,31.4158587647192,944.838026834955
990,27,30.0751755207198,31.4158773251367,944.838024690888
980,27,30.0843032091277,31.4063513500457,944.838196707173
